"NUM_ELE","VALIDITE","NUM_GRP","SESSIONS","POIDS_RELATIF","LIEN_OBLIG","NUM_ORDRE","VALIDITE_GRP","NIVEAU","TYPE_LIEN","COMMENTAIRE_ANGL"
"47304","2012","54217","","0","0","12","2012","","","This option cannot be chosen along with the option relating to the launching of small and medium-sized companies. FSA 2240 is not included in this option for GCE students. The student who chooses this option shall select 16 to 20 credits from amongst"
"47304","2012","54218","","0","0","13","2012","","","Additional information relative to this option can be found at http://www.uclouvain.be/cpme . This option cannot be chosen along with that in management. The student who chooses this option 
shall select 20 to 30 credits from amongst"
"47304","2012","102042","","0","0","9","2012","","",""
"47305","2012","117336","","0","1","1","2012","","",""
"47305","2012","117338","","0","1","2","2012","","",""
"47320","2012","117330","","0","1","2","2012","","",""
"47320","2012","117334","","0","1","1","2012","","",""
"47321","2012","117318","","0","1","8","2012","","",""
"47321","2012","117328","","0","1","9","2012","","",""
"47340","2012","47414","","0","1","1","2012","","",""
"47340","2012","47415","","0","1","2","2012","","",""
"47360","2012","3679","","5","0","13","2012","","",""
"47360","2012","7069","","3","0","7","2012","","",""
"47360","2012","27777","","5","0","8","2012","","",""
"47360","2012","42374","","0","0","15","2012","","","Students should note that any course appearing in the options of their Master?s, but not selected as such, remains a possible elective."
"47360","2012","42379","","0","0","16","2012","","","Students can also include in their curriculum any course given at UCL or FIW / KULeuven subject to approval of the Diploma committee."
"47360","2012","42381","","0","0","18","2012","","","Students may include in their curriculum any  BEST or ATHENS subject to approval by the Diploma committee. These courses are worth 2 credits"
"47360","2012","46300","","0","0","17","2012","","","Students may include in their electives any language course of the Institute of Modern Languages (ILV) for a maximum of 3 credits within the 120 basic credits of their Master?s. Their attention is drawn to the following professional insertion seminars:"
"47360","2012","56593","","0","0","14","2012","","","Students may include in their curriculum a company training period worth 10  credits. However, if this activity is related to their final thesis, they shall choose the 5-credit FSA 2996 course."
"47360","2012","75320","","3","0","3","2012","","",""
"47360","2012","75322","","3","0","6","2012","","",""
"47414","2012","3696","","5","1","2","2012","","",""
"47414","2012","3724","","5","1","1","2012","","",""
"47414","2012","26929","","5","1","4","2012","","",""
"47414","2012","33078","","5","1","3","2012","","",""
